????abandon,/ ?’b?nd?n/                                             ,vt.丢弃；放弃，抛弃
　　eager,/ ‘i:g?/                                             ,a.渴望的，热切的
　　eagle,/ ‘i:gl/                                             ,n.鹰
　　ear,/ i?/                                             ,n.耳朵；听力，听觉
　　early,/ ‘?:li/                                             ,ad.早 a.早的，早期的
　　earn,/ ?:n/                                             ,vt.赚得，挣得；获得
　　earnest,/ ‘?:nist/                                             ,a.认真的，诚恳的
　　earth,/ ?:θ/                                             ,n.地球；陆地，地面
　　earthquake,/ ‘?:θkweik/                                             ,n.地震；大震荡
　　ease,/ i:z/                                             ,n.容易，舒适 vt.缓和
　　east,/ i:st/                                             ,n.东；东部 ad.在东方
　　eastern,/ ‘i:st?n/                                             ,a.东方的；朝东的
　　easy,/ ‘i:zi/                                             ,a.容易的；安逸的
　　eat,/ i:t/                                             ,vt.吃，喝 vi.吃饭
　　echo,/ ‘ek?u/                                             ,n.回声，反响 vi.重复
　　economic,/ i:k?’n?mik/                                             ,a.经济的，经济学的
　　economical,/ i:k?’n?mik?l/                                             ,a.节约的；经济学的
　　economy,/ i(:)’k?n?mi/                                             ,n.经济；节约，节省
　　edge,/ ed?/                                             ,n.边缘，边；刀口
　　edition,/ i’di??n/                                             ,n.版，版本，版次
　　editor,/ ‘edit?/                                             ,n.编辑，编者，校订者
　　educate,/ ‘edju(:)keit/                                             ,vt.教育；培养；训练
　　education,/ edju:’kei??n/                                             ,n.教育；训导；教育学
　　effect,/ i’fekt/                                             ,n.结果；效果，效力
　　effective,/ i’fektiv/                                             ,a.有效的；有影响的
　　efficiency,/ i’fi??nsi/                                             ,n.效率；功效，效能
　　efficient,/ i’fi??nt/                                             ,a.效率高的，有能力的
　　effort,/ ‘ef?t/                                             ,n.努力；努力的成果
　　egg,/ eg/                                             ,n.蛋，鸡蛋，卵
　　eight,/ eit/                                             ,num.八，八个，第八
　　eighteen,/ ‘ei’ti:n/                                             ,num.十八，十八个
　　eighth,/ eitθ/                                             ,num.第八 n.八分之一
　　eighty,/ ‘eiti/                                             ,num.八十，八十个
　　either,"/ ‘aie?, ‘i:e?/                                             ",pron.(两者)任何一个
　　elaborate,/ i’l?b?rit/                                             ,a.复杂的；精心制作的
　　elastic,/ i’l?stik/                                             ,n.松紧带 a.有弹性的
　　elder,/ ‘eld?/                                             ,a.年龄较大的 n.长者
　　elect,/ i’lekt/                                             ,vt.选举，推选；选择
　　election,/ i’lek??n/                                             ,n.选举，选择权；当选
　　electric,/ i’lektrik/                                             ,a.电的，电动的
　　electrical,/ i’lektrik?l/                                             ,a.电的，电气科学的
　　electricity,/ ilek’trisiti/                                             ,n.电，电学；电流
　　electron,/ i’lektr?n/                                             ,n.电子
　　electronic,/ ilek’tr?nik/                                             ,a.电子的
　　element,/ ‘elim?nt/                                             ,n.成分；要素；元素
　　elementary,/ eli’ment?ri/                                             ,a.基本的；初级的
　　elephant,/ ‘elif?nt/                                             ,n.象
　　elevator,/ ‘eliveit?/                                             ,n.电梯；升降机
　　eleven,/ i’levn/                                             ,num.十一，十一个
　　eliminate,/ i’limineit/                                             ,vt.消灭，消除，排除
　　else,/ els/                                             ,ad.其它，另外 a.别的
　　elsewhere,/ els’we?/                                             ,ad.在别处，向别处
　　embarrass,/ im’b?r?s/                                             ,vt.使窘迫，使为难
　　embrace,/ im’breis/                                             ,vt.拥抱；包括；包围
　　emerge,/ i’m?:d?/                                             ,vi.出现，涌现；冒出
　　emergency,/ i’m?:d??nsi/                                             ,n.紧急情况，突然事件
　　emit,/ i’mit/                                             ,vt.散发；发射；发表
　　emotion,/ i’m?u??n/                                             ,n.情感，感情；激动
　　emotional,/ i’m?u??nl/                                             ,a.感情的，情绪的
　　emperor,/ ‘emp?r?/                                             ,n.皇帝
　　emphasis,/ ‘emf?sis/                                             ,n.强调，重点，重要性
　　emphasize,/ ‘emf?saiz/                                             ,vt.强调，着重
　　empire,/ ‘empai?/                                             ,n.帝国
　　employ,/ im’pl?i/                                             ,vi.雇用；用；使忙于
　　employee,/ empl?i’i:/                                             ,n.受雇者，雇员，雇工
　　employer,/ im’pl?i?/                                             ,n.雇佣者，雇主
　　employment,/ im’pl?im?nt/                                             ,n.工业；雇用；使用
　　empty,/ ‘empti/                                             ,a.空的；空洞的
　　enable,/ i’neibl/                                             ,vt.使能够，使可能
　　enclose,/ in’kl?uz/                                             ,vt.围住，圈起；附上
　　encounter,/ in’kaunt?/                                             ,vt.遭遇，遇到 n.遭遇
　　encourage,/ in’kΛrid?/                                             ,vt.鼓励，支持，助长
　　end,/ end/                                             ,n.末端；目标 vt.结束
　　ending,/ ‘endi?/                                             ,n.结尾，结局；死亡
　　endless,/ ‘endlis/                                             ,a.无止境的
　　endure,/ in’dju?/                                             ,vt.忍受；容忍
　　enemy,/ ‘enimi/                                             ,n.敌人；仇敌；敌兵
　　energy,/ ‘en?d?i/                                             ,n.活力；精力；能
　　enforce,/ in’f?:s/                                             ,vt.实施，执行；强制
　　engage,/ in’geid?/                                             ,vt.使从事于；聘用
　　engine,/ ‘end?in/                                             ,n. 发动机，引擎；机车
　　engineer,/ end?i’ni?/                                             ,n.工程师，技师
　　engineering,/ end?i’ni?ri?/                                             ,n.工程，工程学
　　enlarge,/ in’la:d?/                                             ,vt.扩大，扩展；放大
　　enormous,/ i’n?:m?s/                                             ,a.巨大的，庞大的
　　enough,/ i’nΛf/                                             ,a.足够的 ad.足够地
　　enquire,/ in’kwai?/                                             ,vi.vt. 询问
　　enquiry,//                                             ,n. 询问
　　ensure,/ in’?u?/                                             ,vt.保证；保护；赋予
　　entertain,/ ent?’tein/                                             ,vt.使欢乐；招待
　　enthusiasm,/ in’θju:zi?z?m/                                             ,n.热情，热心，热忱
　　entitle,/ in’taitl/                                             ,vt.给…权利(或资格)
　　entry,/ ‘entri/                                             ,n.入口处；登记；进入
　　environment,/ in’vai?r?nm?nt/                                             ,n.环境，外界；围绕
　　envy,/ ‘envi/                                             ,vt.&n.妒忌；羡慕
　　equal,/ ‘i:kw?l/                                             ,a.相等的；平等的
　　equality,/ i(:)’kw?liti/                                             ,n.等同，平等；相等
　　equation,/ i’kwei??n/                                             ,n.方程(式)；等式
　　equip,/ i’kwip/                                             ,vt.装备，配备
　　equipment,/ i’kwipm?nt/                                             ,n.装备，设备，配备
　　equivalent,/ i’kwiv?l?nt/                                             ,a.相等的；等量的
　　era,/ ‘i?r?/                                             ,n.时代，年代；纪元
　　erect,/ i’rekt/                                             ,vt.建造；使竖立
　　error,/ ‘er?/                                             ,n.错误，谬误；差错
　　escape,/ is’keip/                                             ,vi.逃跑；逸出 n.逃跑
　　especially,/ is’pe??li/                                             ,ad.特别，尤其，格外
　　essay,/ ‘esei/                                             ,n.短文，散文，小品文
　　essential,/ i’sen??l/                                             ,a.必要的，本质的
　　establish,/ is’t?bli?/                                             ,vt.建立，设立；确立
　　establishment,/ is’t?bli?m?nt/                                             ,n.建立，设立，确立
　　estimate,"/ ‘estimit, ‘estimeit/                                             ",vt.估计，评价 n.估计
　　?urope,/ ‘ju?r?p/                                             ,n.欧洲
　　?uropean,/ ju?r?’pi:?n/                                             ,a.欧洲的 n.欧洲人
　　evaluate,/ i’v?ljueit/                                             ,vt.评价，估…的价
　　evaporate,/ i’v?p?reit/                                             ,vt.使蒸发 vi.蒸发
　　eve,/ i:v/                                             ,n.前夜，前夕，前一刻
　　even,/ ‘i:v?n/                                             ,ad.甚至；甚至更，还
　　even,/ ‘i:v?n/                                             ,a.均匀的；平的
