单词,释义
enquiry,n.(of，about)询问，打听；调查，查问（=inquiry＿
brave,adj.勇敢皿
wherever,adv.无论在哪釿
certain,adj. （未指明真实名称的）某……；确定的，无疑的；一定会…?
instead,adv. 代替，顶替，反耿
necessary,adj. 必需的，必要皿
per,prep. 每，每一
during,prep. 在……期间；在……过程中
able,adj. 能够；有能力皿
among,prep. 在…中间；在（三个以上）之闿
Japanese,adj. 日本的，日本人的，日语的 n. 日本人，日语
different,adj. 不同的，有差异的
raincoat,n. 雨衣
useful,adj. 有用的，有益皿
self,n. 自己，自我，自身
Wednesday,n. 星期丿
jeans,n.牛仔裤，工装裿
recorder,n.记录员；录音朿
handbag,n.(女用)手提匿
grape,n.葡萄；葡萄藤
culture,n. 文化，文明；修养；栽埿 v. 使有教养，培兿
magic,n.魔法，魔术，戏法 adj.有魔力的，魔术的
poem,n.诗，韵文，诗体文
render,v.致使；提出；实施；着色；补偿 n.打底；交纳；粉刷
electric,adj.电的，电动的
nature,n. 大自然；性质；天怿
single,adj. 单个的；未婚的；单人皿 n. 单程祿
stage,n. 阶段；舞台；戏剧
deal,v.处理；给予；做买卖，经营　　 n.交易；待避
trust,v.信任；盼望，希望；委托　　 n.信任；委承
salad,n. 色拉；凉拌菜
keyboard,n.键盘
marriage,n. 结婚；婚姻；密切结合，合广
railway,n. 铁路，铁避
video,n.录像，录像机 v.制作…的录像 adj.录像皿
encourage,v. 鼓励，支持；赞助
helpful,adj.给予帮助的；有用皿
umbrella,n.伿
whale,n. 鲿
balloon,n.气球 v.充气
handwriting,n.笔迹，手稿，书法
violin,n. 小提琿
frog,n. 蛿
accent,n.口音，腔调；重音；重音符叿 v.重读
owing,adj.应付的，未付皿
quite,adv. 完全，十刿
seem,v. 似乎，好僿
advertisement,n.广告，宣传，做广告（的人＿
average,n.平均；平均水广 adj.通常的；平均皿 v.平均丿
moral,adj.道德(丿的，道义的　 n.寓意，教育意乿
merely,adv.仅仅，只不过
purple,adj.紫的 n.紫色
four,num.四，四个，四点钟
thing,n.东西，事物，事件，事怿
yes,adv.昿 n.昿
tea,n.茿叿，茶炿
town,n.市镇，城长
yesterday,n.昨天，往昿 adv.昨天
worker,n.工人
seven,num.丿 n.七个，七炿
somewhere,adv.某处，在某处，大榿
twelve,num.十二 n.十二个，十二点钟
farmer,n.农民，农夫；农场丿
somebody,pron.某人，有亿
everybody,pron.每人，人亿
anywhere,adv.无论何处
fifth,num.第五 n.五分之一
sixty,num.六十，六十个
ninety,num.九十，九十个
everywhere,adv.到处，处夿
eighteen,num.十八，十八个
fourteen,num.十四，第十四
seventy,num.七十，七十个
eighth,num.第八 n.八分之一
toy,n.玩具 v.不认真考虑，玩弿
sunny,adj. 阳光充足的；乐观的，快乐皿
oneself,pron.自己；亲臿
candy,n. 糖果
child,n.小孩，儿童；儿子
ear,n.耳朵；听力，听觉
mother,n.母亲，妈妿
father,n.父亲；神父；创始亿
today,adv.今天，现仿 n.今天，现仿
door,n.门，通道；一宿
woman,n.女人＿妇女，女仿 adj.女人的， 女性的，妇女的 v.丿..配备妇女，使成女人腔
age,n.年龄，时仿 v. 变老，增岁
food,n.食物，食品，养料
friend,n.朋友，友亿
cut,v.切，割，剪；减少
anyone,pron.任何一丿
girl,n.少女；女孿
everyone,pron.每人，人亿
pencil,n.铅笔
baby,n.宝宝；婴儿；孩子气的亿
foot,n.脚；最下部；英尿
desk,n.书桌，办公桌，服务台
yellow,n.黄色 adj.黄色皿
nose,n.鼻子；突出部刿
song,n.歌，歌曲
bottle,n.瓿孿 v.装瓶
egg,n.蛋，鸡蛋，卵
cake,n.饼，糕，蛋糕
purse,n.钱包，小钱袋，手袿
rice,n.稻，籿
air,n.空气 v.晾干，使通风
short,n.简略；短裤 adj.短的；不足的＿智力筿弱的；简矿 adv.突然；缺乿
ago,adv.以前＿..剿
everyday,adj.每天的，日常皿
bad,adj.坏的，恶的，错的；低劣的，拙劣的；不舒服的，病的；腐败的；严重的，糟糕的
afternoon,n.午后，下卿 adv.下午的，晚期
thus,adv.如此，这样；因耿
sure,adj. 确信，肯宿adv. (口语)的确，一定，当然
upon,prep. 在……上靿
use,n.& v.利用，使用，应用
else,adv.别的，其他的
possible,adj. 可能皿
whenever,conj. 每当，无论何旿
home,n.家，家庭皿 adj.家庭的，家用的，主场皿 adv.在家，回家地
eight,num.兿 n.八个，八炿
green,adj.绿色的，绿色植物皿 n.绿色
dark,adj.暗的，深色的，黑色的
twenty,num.二十 n.二十丿
nine,num.乿 n.九个，九点钟
thirty,num.三十
tomorrow,adv.明天圿 n.明天，未板
fifty,num.五十，五十个
forty,num.四十，第四十
visitor,n.访问者，来宾，游宿
Chinese,adj.中国皿 n.中国亿
anybody,pron.任何人，重要人物
eighty,num.八十，八十个
eleven,num.十一，十一丿
sixteen,num.十六，十六个
fox,n.狐狸；狡猾的亿
ninth,num.第九；九分之一
twelfth,num.第十亿
school,"n.学校, 学院；学习；一羿"
star,n.星，恒星，明星，名角
big,adj.大的，巨大的
student,n.学生；学者，大学甿
hair,n.头发，毛发；毿
sun,n.太阳，阳光，恒星 v.晿
chair,n.椅子；主帿职位)
cup,n.杯子＿一)杯；奖杯
river,n.河，汿
daughter,n.女儿
thank,v.感谢，用于表示强制的要求，用将来旿
brother,n.兄弟；同事，同胞
telephone,v.打电诿 n. 电话(朿
football,n.足球比赛；足琿
shoe,n.鞿 v.穿..鞿
bike,n.自行轿 v.骑自行车
British,adj.不列颠的，英联邦皿
ourselves,pron.我们自己
Tuesday,n. 星期亿
eye,n.眼睛；眼力；鉴赏势
six,num.六，六个
road,n.路，道路；公路，大道
arrow,n.箭，矢，箭状物；箭头符号
thirsty,adj.口渴的；渴望皿
plastic,n.[常pl.]塑料，塑料制品　 adj.塑料的，塑性的
airport,n.机场；航空站
five,num.五，五个，第亿
zero,n.零，零度　　 num.雿
lot,n.一批，某一类的人；场地
western,adj.西的，西方的，来自西方的人，有西方特徿
indeed,adv.真正地；确实
otherwise,adv.另外；要不然 adj.不同皿
although,conj. 虽然，尽箿
maybe,adv. 可能，大概，也许
nearly,adv. 将近，几乿
really,adv. 真正地；到底；确宿
whichever,pron. 无论哪个＿无论哪些
later,adv.后来；过一会儿
sometimes,adv.不时，有旿
herself,pron.她自己；她亲臿
myself,pron.我自己；我亲臿
math,n.数学
someone,pron.有人，某亿
twentieth,adj.第二十的，二十分之一的；n.第二卿丿，二十分之一＿朿的第二十旿
hi,ini.嗿表示问候等)
rather,adv. 相当，宁叿
